size,temp,ingredient 
6.5,chill,mix
6.3,chill,mix
6.3,chill,mix
6,chill,mix
6,chill,mix
6.4,chill,mix
6.3,chill,mix
6.2,chill,mix
6.05,chill,mix
6.5,chill,mix
6.6,chill,mix
6.3,chill,mix
6.3,chill,mix
6.1,chill,mix
6.4,chill,mix
5.7,chill,mix
5.8,chill,mix
5.5,chill,soda
6,chill,soda
5.25,chill,soda
6.25,chill,soda
6,chill,soda
6,chill,soda
6.1,chill,soda
6.4,chill,soda
6,chill,soda
5.9,chill,soda
5.7,chill,soda
5.8,chill,soda
6.7,chill,soda
6,chill,soda
5.7,chill,soda
6.4,chill,soda
5.9,chill,soda
5.6,chill,powder
5.7,chill,powder
5.5,chill,powder
5.3,chill,powder
5.3,chill,powder
5.2,chill,powder
5.8,chill,powder
5.8,chill,powder
5.6,chill,powder
5.9,chill,powder
5.9,chill,powder
5.4,chill,powder
5.4,chill,powder
5.5,chill,powder
5.5,chill,powder
5.5,chill,powder
5.2,chill,powder
5.3,room,mix
5.7,room,mix
5.5,room,mix
5.8,room,mix
5.5,room,mix
5.5,room,mix
6,room,mix
5.9,room,mix
5.6,room,mix
5.7,room,mix
5.8,room,mix
5.5,room,mix
5.6,room,mix
5.6,room,mix
5.4,room,mix
5.4,room,mix
5.7,room,mix
6.3,room,soda
6,room,soda
6.4,room,soda
6.1,room,soda
5.9,room,soda
6,room,soda
6,room,soda
6.2,room,soda
6.3,room,soda
6,room,soda
6.5,room,soda
5.7,room,soda
6.4,room,soda
6,room,soda
5.9,room,soda
6.1,room,soda
5.9,room,soda
4.5,room,powder
5,room,powder
5.5,room,powder
5.1,room,powder
5.3,room,powder
5.1,room,powder
5.4,room,powder
5.5,room,powder
5.4,room,powder
4.9,room,powder
5.1,room,powder
5.2,room,powder
5.1,room,powder
5.5,room,powder
5,room,powder
5.1,room,powder
4.9,room,powder
